Original Sentence,Triple-Fact 1,Triple-Fact 10,Triple-Fact 11,Triple-Fact 12,Triple-Fact 13,Triple-Fact 14,Triple-Fact 15,Triple-Fact 16,Triple-Fact 17,Triple-Fact 18,Triple-Fact 19,Triple-Fact 2,Triple-Fact 20,Triple-Fact 21,Triple-Fact 22,Triple-Fact 23,Triple-Fact 24,Triple-Fact 25,Triple-Fact 26,Triple-Fact 27,Triple-Fact 3,Triple-Fact 4,Triple-Fact 5,Triple-Fact 6,Triple-Fact 7,Triple-Fact 8,Triple-Fact 9
In 1977 Furrer applied for selection as an astronaut for the first Spacelab mission.,"Furrer <b><font color=""red"">type</font></b> an astronaut",,,,,,,,,,,,,,,,,,,,,,,,,,
Furrer stayed there until he joined the University of Kiel to study physics.,"Furrer <b><font color=""red"">occupation</font></b> physics",,,,,,,,,,,,,,,,,,,,,,,,,,
"Furrer was born in Wrgl, Austria (then part of Germany).","Furrer <b><font color=""red"">deathPlace</font></b> Germany",,,,,,,,,,,"Furrer <b><font color=""red"">nationality</font></b> Germany",,,,,,,,,,,,,,,
"Prof. Dr. Reinhard Alfred Furrer (November 25, 1940  September 9, 1995) was a German physicist and astronaut.","Reinhard Alfred Furrer <b><font color=""red"">deathPlace</font></b> German",,,,,,,,,,,"Reinhard Alfred Furrer <b><font color=""red"">nationality</font></b> German",,,,,,,,,"Reinhard Alfred Furrer <b><font color=""red"">occupation</font></b> physicist","Reinhard Alfred Furrer <b><font color=""red"">type</font></b> astronaut",,,,,
Creamer was assigned to NASA at the Johnson Space Center (JSC) in July 1995 as a Space Shuttle vehicle integration test engineer.,"the Johnson Space Center <b><font color=""red"">parentAgency</font></b> NASA",,,,,,,,,,,"the Johnson Space Center <b><font color=""red"">parentAgency</font></b> NASA",,,,,,,,,,,,,,,
"Timothy ""TJ"" Creamer (born November 15, 1959) is a NASA astronaut and a Colonel in the United States Army.","Timothy <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"Timothy <b><font color=""red"">type</font></b> astronaut",,,,,,,,,"Timothy <b><font color=""red"">rank</font></b> the United States Army",,,,,,
"After 11 days in space, Sheikh Muszaphar boarded Soyuz TMA-10 for his return.","Sheikh Muszaphar <b><font color=""red"">mission</font></b> Soyuz TMA-10",,,,,,,,,,,"Soyuz TMA-10 <b><font color=""red"">crewLanding</font></b> Sheikh Muszaphar",,,,,,,,,"Soyuz TMA-10 <b><font color=""red"">crew3Down</font></b> Sheikh Muszaphar",,,,,,
"Soyuz TMA-11 carrying Whitson, Malenchenko, and Sheikh Muszaphar, successfully launched at 13:22 UTC, Wednesday, October 10, 2007.","Sheikh Muszaphar <b><font color=""red"">mission</font></b> Soyuz TMA-11",,,,,,,,,,,"Soyuz TMA-11 <b><font color=""red"">crew3Up</font></b> Sheikh Muszaphar",,,,,,,,,"Soyuz TMA-11 <b><font color=""red"">crewLaunching</font></b> Sheikh Muszaphar","Soyuz TMA-11 <b><font color=""red"">crew2Up</font></b> Whitson","Soyuz TMA-11 <b><font color=""red"">crewMembers</font></b> Whitson","Whitson <b><font color=""red"">mission</font></b> Soyuz TMA-11","Soyuz TMA-11 <b><font color=""red"">crew1Up</font></b> Malenchenko","Soyuz TMA-11 <b><font color=""red"">crewMembers</font></b> Malenchenko","Malenchenko <b><font color=""red"">mission</font></b> Soyuz TMA-11"
"Following the final medical tests and training examinations, on September 17, it was announced that Sheikh Muszaphar would be flying on the Soyuz TMA-11 mission.","Sheikh Muszaphar <b><font color=""red"">mission</font></b> Soyuz TMA-11",,,,,,,,,,,"Soyuz TMA-11 <b><font color=""red"">crew3Up</font></b> Sheikh Muszaphar",,,,,,,,,"Soyuz TMA-11 <b><font color=""red"">crewLaunching</font></b> Sheikh Muszaphar",,,,,,
"Sheikh Muszaphar is [[a medical officer|Physician]], and a university medical officer in medicine at the Universiti Kebangsaan Malaysia.","medical officer <b><font color=""red"">activitySector</font></b> medicine",,,,,,,,,,,"the Universiti Kebangsaan Malaysia <b><font color=""red"">type</font></b> university",,,,,,,,,"medical officer <b><font color=""red"">activitySector</font></b> medicine",,,,,,
"Sheikh Muszaphar was born in Kuala Lumpur and attended high school at Maktab Rendah Sains, MARA in Muar.","Sheikh Muszaphar <b><font color=""red"">birthPlace</font></b> Kuala Lumpur",,,,,,,,,,,,,,,,,,,,,,,,,,
"He was launched to the International Space Station aboard Soyuz TMA-11 with the Expedition 16 crew on October 10, 2007.","Expedition 16 <b><font color=""red"">programme</font></b> the International Space Station",,,,,,,,,,,"Expedition 16 <b><font color=""red"">spaceStation</font></b> the International Space Station",,,,,,,,,"Soyuz TMA-11 <b><font color=""red"">expedition1Up</font></b> Expedition 16","Soyuz TMA-11 <b><font color=""red"">expedition2Up</font></b> Expedition 16","Expedition 16 <b><font color=""red"">arrivalCraft</font></b> Soyuz TMA-11","Expedition 16 <b><font color=""red"">departureCraft</font></b> Soyuz TMA-11",,,
"He is the father of Sergei Volkov, who became the first second-generation cosmonaut when he launched aboard Soyuz TMA-12 on 8 April 2008.","Sergei Volkov <b><font color=""red"">mission</font></b> Soyuz TMA-12",,,,,,,,,,,,,,,,,,,,,,,,,,
Aleksandr Volkov was awarded: He worked as Commander of the Cosmonaut Team at the Cosmonauts Training Centre from January 1991 until August 1998.,"Aleksandr Volkov <b><font color=""red"">type</font></b> Cosmonaut",,,,,,,,,,,"Aleksandr Volkov <b><font color=""red"">type</font></b> Cosmonaut",,,,,,,,,,,,,,,
"At the time Volkov was orbiting Earth on Mir with Sergei K. Krikalev, ""the last citizens of the USSR"".","Sergei K. Krikalev <b><font color=""red"">birthPlace</font></b> the USSR",,,,,,,,,,,,,,,,,,,,,,,,,,
"At the age of 13, Volkov witnessed Yuri Gagarin become the first man in space and this inspired him to become a cosmonaut.","Yuri Gagarin <b><font color=""red"">type</font></b> space",,,,,,,,,,,,,,,,,,,,,,,,,,
"Aleksandr Aleksandrovich Volkov ( Ukrainian: ????????? ????????????? ??????, Russian: ?????????? ?????????????? ???????) (born May 27, 1948, Horlivka, Ukrainian SSR, USSR) is a Soviet cosmonaut of Ukrainian origins.","Aleksandr Aleksandrovich Volkov <b><font color=""red"">nationality</font></b> Russian",,,,,,,,,,,"Soviet <b><font color=""red"">country</font></b> Russian",,,,,,,,,"Aleksandr Aleksandrovich Volkov <b><font color=""red"">birthPlace</font></b> Horlivka","Aleksandr Aleksandrovich Volkov <b><font color=""red"">nationality</font></b> Russian","Soviet <b><font color=""red"">country</font></b> Russian","cosmonaut <b><font color=""red"">title</font></b> origins",,,
"After his service with NASA, Lockhart was assigned to and graduated in 2004 from the Royal College of Defence Studies in London, United Kingdom.","the Royal College of Defence Studies <b><font color=""red"">city</font></b> London",,,,,,,,,,,"the Royal College of Defence Studies <b><font color=""red"">country</font></b> United Kingdom",,,,,,,,,"London <b><font color=""red"">country</font></b> United Kingdom","United Kingdom <b><font color=""red"">capital</font></b> London",,,,,
Among the others who also died in the plane crash was former Senator John Tower of Texas.,"John Tower <b><font color=""red"">type</font></b> Senator",,,,,,,,,,,"John Tower <b><font color=""red"">birthPlace</font></b> Texas",,,,,,,,,,,,,,,
"The STS-33 crew launched from Kennedy Space Center, Florida, at night on November 22, 1989, aboard the Space Shuttle Discovery.","STS-33 <b><font color=""red"">launchSite</font></b> Kennedy Space Center",,,,,,,,,,,"the Space <b><font color=""red"">launchSite</font></b> Kennedy Space Center",,,,,,,,,,,,,,,
"Sonny Carter was born in Macon, Georgia, but considered Warner Robins, Georgia, to be his hometown.","Warner Robins <b><font color=""red"">isPartOf</font></b> Georgia",,,,,,,,,,,"Sonny Carter <b><font color=""red"">birthPlace</font></b> Georgia",,,,,,,,,,,,,,,
"STS-52 launched from [[the Kennedy Space Center|Kennedy_Space_Center]] in Florida on October 22, 1992, and landed at Kennedy on November 1, 1992.","STS-52 <b><font color=""red"">landingSite</font></b> Kennedy",,,,,,,,,,,"STS-52 <b><font color=""red"">launchSite</font></b> Kennedy",,,,,,,,,"STS-52 <b><font color=""red"">landingSite</font></b> Kennedy","STS-52 <b><font color=""red"">launchSite</font></b> Kennedy",,,,,
They also operated the first U.S. Microgravity Payload (USMP) with French and American experiments.,"They <b><font color=""red"">country</font></b> U.S.",,,,,,,,,,,"They <b><font color=""red"">country</font></b> U.S.",,,,,,,,,"French <b><font color=""red"">populationPlace</font></b> U.S.","French <b><font color=""red"">populationPlace</font></b> U.S.",,,,,
"Veach was selected as an astronaut candidate in May 1984, and became an astronaut in June 1985.","Veach <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,"Veach <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,,,,,
"Veach came to work for NASA in January 1982 as an engineer and research pilot at the Johnson Space Center in Houston, Texas.","Veach <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"the Johnson Space Center <b><font color=""red"">parentAgency</font></b> NASA",,,,,,,,,,,,,,,
Veach was commissioned in the United States Air Force upon graduation from the United States Air Force Academy.,"Veach <b><font color=""red"">rank</font></b> the United States Air Force",,,,,,,,,,,,,,,,,,,,,,,,,,
"Charles Lacy Veach (September 18, 1944 - October 3, 1995) was a USAF fighter pilot and NASA astronaut.","Charles Lacy Veach <b><font color=""red"">rank</font></b> USAF",,,,,,,,,,,"Charles Lacy Veach <b><font color=""red"">type</font></b> NASA",,,,,,,,,"Charles Lacy Veach <b><font color=""red"">type</font></b> astronaut",,,,,,
"STS-122, which was a 12-day, 18-hour flight, delivered the European-built Columbus module to the ISS the European Space Agency (ESA).","the ISS <b><font color=""red"">agency5Up</font></b> the European Space Agency",,,,,,,,,,,"the ISS <b><font color=""red"">agency7Up</font></b> the European Space Agency",,,,,,,,,"the ISS <b><font color=""red"">agency5Up</font></b> the European Space Agency","the ISS <b><font color=""red"">agency7Up</font></b> the European Space Agency","the ISS <b><font color=""red"">agency5Up</font></b> the European Space Agency","the ISS <b><font color=""red"">agency7Up</font></b> the European Space Agency","the ISS <b><font color=""red"">agency5Up</font></b> the European Space Agency","the ISS <b><font color=""red"">agency7Up</font></b> the European Space Agency",
He was selected by NASA as an astronaut candidate in March 1996 and reported to the Johnson Space Center in August 1996.,"the Johnson Space Center <b><font color=""red"">parentAgency</font></b> NASA",,,,,,,,,,,,,,,,,,,,,,,,,,
"Rex Joseph Walheim (born October 10, 1962) is a United States Air Force officer and a NASA astronaut.","Rex Joseph Walheim <b><font color=""red"">rank</font></b> United States Air Force",,,,,,,,,,,"Rex Joseph Walheim <b><font color=""red"">occupation</font></b> officer",,,,,,,,,"Rex Joseph Walheim <b><font color=""red"">type</font></b> NASA","Rex Joseph Walheim <b><font color=""red"">type</font></b> astronaut",,,,,
"Leslie flew as a payload specialist on STS-73 launched on October 20, 1995 and landed at the Kennedy Space Center on November 5, 1995.","STS-73 <b><font color=""red"">landingSite</font></b> the Kennedy Space Center",,,,,,,,,,,"STS-73 <b><font color=""red"">launchSite</font></b> the Kennedy Space Center",,,,,,,,,,,,,,,
Leslie began work for NASA in 1980 as a research scientist in the Space Science Laboratory at the Marshall Space Flight Center.,"the Marshall Space Flight Center <b><font color=""red"">parentAgency</font></b> NASA",,,,,,,,,,,,,,,,,,,,,,,,,,
Fred Weldon Leslie is an American scientist who flew on the NASA STS-73 Space Shuttle mission as a payload specialist.,"STS-73 <b><font color=""red"">operator</font></b> NASA",,,,,,,,,,,"Fred Weldon Leslie <b><font color=""red"">mission</font></b> STS-73",,,,,,,,,,,,,,,
"Bean's in-flight Skylab diary is featured in ""Homesteading Space,"" a history of the Skylab program co-authored by fellow astronauts Joseph Kerwin and Owen Garriott and writer David Hitt, published in 2008.","Joseph Kerwin <b><font color=""red"">type</font></b> astronauts",,,,,,,,,,,"Owen Garriott <b><font color=""red"">type</font></b> astronauts",,,,,,,,,"David Hitt <b><font color=""red"">type</font></b> writer",,,,,,
"With him on the 59-day, 24,400,000 mile world record setting flight were scientist-astronaut Dr. Owen Garriott and Marine Corps Lieutenant Colonel Jack Lousma.","Jack Lousma <b><font color=""red"">rank</font></b> Marine Corps",,,,,,,,,,,,,,,,,,,,,,,,,,
"Apollo 12 Commander Conrad, who had instructed Bean at the Naval Flight Test School years before, personally requested Bean to replace Williams.","Apollo 12 <b><font color=""red"">crew1Up</font></b> Conrad",,,,,,,,,,,"Apollo 12 <b><font color=""red"">crewMembers</font></b> Conrad",,,,,,,,,"Conrad <b><font color=""red"">mission</font></b> Apollo 12",,,,,,
"When fellow astronaut Clifton Williams was killed in an air crash, a space was opened for Bean on the back-up crew for Apollo 9.","Clifton Williams <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,,,,,,,,,,,,,,,,
Bean was selected by NASA as part of Astronaut Group 3 in 1963 (after not being selected for Astronaut Group 2 the previous year).,"1963 <b><font color=""red"">type</font></b> year",,,,,,,,,,,,,,,,,,,,,,,,,,
"He was awarded an honorary doctorate of science from Texas Wesleyan College in 1972, and was presented an honorary doctorate of engineering science degree from the University of Akron (Ohio) in 1974.","Texas Wesleyan College <b><font color=""red"">type</font></b> the University",,,,,,,,,,,,,,,,,,,,,,,,,,
"After a four year tour as a fighter pilot assigned to a jet attack squadron in Jacksonville, Florida, he attended the U.S. Naval Test Pilot School, where his instructor was his future Apollo 12 Commander Pete Conrad.","Apollo 12 <b><font color=""red"">crew1Up</font></b> Pete Conrad",,,,,,,,,,,"Apollo 12 <b><font color=""red"">crewMembers</font></b> Pete Conrad",,,,,,,,,"Pete Conrad <b><font color=""red"">mission</font></b> Apollo 12",,,,,,
"Bean graduated from R. L. Paschal High School in Fort Worth, Texas.","R. L. Paschal High School <b><font color=""red"">state</font></b> Texas",,,,,,,,,,,"Fort Worth <b><font color=""red"">isPartOf</font></b> Texas",,,,,,,,,,,,,,,
"He made his first flight into space aboard Apollo 12, the second manned mission to land on the Moon, at the age of thirty-seven years in November 1969.","1969 <b><font color=""red"">type</font></b> years",,,,,,,,,,,,,,,,,,,,,,,,,,
"Alan LaVern Bean (born March 15, 1932) is a former NASA astronaut and currently a painter.","Alan <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"Alan <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,,,,,
He was elected to the National Assembly and took part in the creation of the new democratic Constitution of the Republic of Bulgaria.,"the Republic of Bulgaria <b><font color=""red"">legislature</font></b> the National Assembly",,,,,,,,,,,,,,,,,,,,,,,,,,
"Ivanov was awarded the title Hero of the Soviet Union on April 13, 1979 Georgi Ivanov earned a Ph.D. in space engineering.","Ivanov <b><font color=""red"">birthPlace</font></b> the Soviet Union",,,,,,,,,,,,,,,,,,,,,,,,,,
"Major general Georgi Ivanov Kakalov (Bulgarian: ?????? ?????? ???????; born July 2, 1940) is a retired Bulgarian military officer and the first Bulgarian cosmonaut.","Georgi Ivanov <b><font color=""red"">birthPlace</font></b> Bulgarian",,,,,,,,,,,"Georgi Ivanov <b><font color=""red"">nationality</font></b> Bulgarian",,,,,,,,,"Georgi Ivanov <b><font color=""red"">birthPlace</font></b> Bulgarian","Georgi Ivanov <b><font color=""red"">nationality</font></b> Bulgarian",,,,,
"After STS-8, Truly left NASA to become the first commander of the Naval Space Command.","STS-8 <b><font color=""red"">operator</font></b> NASA",,,,,,,,,,,,,,,,,,,,,,,,,,
"In 1965, Truly was among the first military astronauts selected to the United States Air Force's Manned Orbiting Laboratory (MOL) program in Los Angeles, California.","Los Angeles <b><font color=""red"">isPartOf</font></b> California",,,,,,,,,,,"California <b><font color=""red"">largestCity</font></b> Los Angeles",,,,,,,,,,,,,,,
"STS-110 Atlantis (April 819, 2002) was the 13th Space Shuttle mission to visit the International Space Station.","Atlantis <b><font color=""red"">type</font></b> Space Shuttle",,,,,,,,,,,,,,,,,,,,,,,,,,
"Selected as an astronaut candidate by NASA in April 1996, Morin reported to the Johnson Space Center in August 1996.","Morin <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,"Morin <b><font color=""red"">type</font></b> NASA",,,,,,,,,"the Johnson Space Center <b><font color=""red"">parentAgency</font></b> NASA",,,,,,
"Lee Miller Emile Morin (born September 9, 1952) M.D., Ph.D. is a United States Navy Captain and NASA astronaut.","Lee Miller Emile Morin <b><font color=""red"">rank</font></b> United States Navy",,,,,,,,,,,"Lee Miller Emile Morin <b><font color=""red"">rank</font></b> Captain",,,,,,,,,"Lee Miller Emile Morin <b><font color=""red"">type</font></b> NASA","Lee Miller Emile Morin <b><font color=""red"">type</font></b> astronaut",,,,,
"McMonagle is a member of the Society of Experimental Test Pilots; Association of Graduates, U. S. Air Force Academy; and Association of Space Explorers.","McMonagle <b><font color=""red"">rank</font></b> U. S. Air Force",,,,,,,,,,,,,,,,,,,,,,,,,,
McMonagle commanded a crew of six aboard Space Shuttle Atlantis on the STS-66 Atmospheric Laboratory for Applications and Science-3 (ATLAS-3) 11-day mission in November 1994.,"McMonagle <b><font color=""red"">mission</font></b> STS-66",,,,,,,,,,,"STS-66 <b><font color=""red"">crew1Up</font></b> McMonagle",,,,,,,,,"STS-66 <b><font color=""red"">crewMembers</font></b> McMonagle",,,,,,
"In January 1993, McMonagle served as pilot on STS-54 aboard the Space Shuttle Endeavour.","McMonagle <b><font color=""red"">mission</font></b> STS-54",,,,,,,,,,,"STS-54 <b><font color=""red"">crew2Up</font></b> McMonagle",,,,,,,,,"STS-54 <b><font color=""red"">crewMembers</font></b> McMonagle",,,,,,
McMonagle flew as a mission specialist aboard the Space Shuttle Discovery on Department of Defense mission STS-39 in April 1991.,"McMonagle <b><font color=""red"">mission</font></b> STS-39",,,,,,,,,,,"STS-39 <b><font color=""red"">crew4Up</font></b> McMonagle",,,,,,,,,"STS-39 <b><font color=""red"">crewMembers</font></b> McMonagle",,,,,,
"From 1982 to 1985, McMonagle was the operations officer and a project test pilot for the Advanced Fighter Technology Integration F-16 aircraft.","McMonagle <b><font color=""red"">occupation</font></b> test pilot",,,,,,,,,,,,,,,,,,,,,,,,,,
"Several of the MOL astronauts, including Lachlan Macleay, were interviewed for this documentary.","Lachlan Macleay <b><font color=""red"">type</font></b> astronauts",,,,,,,,,,,,,,,,,,,,,,,,,,
"He graduated from the U.S. Air Force Test Pilot School in class 60A, Aerospace Research Pilot School (ARPS) Class IV, and MOL.","class <b><font color=""red"">country</font></b> U.S.",,,,,,,,,,,"Aerospace Research Pilot School <b><font color=""red"">country</font></b> U.S.",,,,,,,,,"class <b><font color=""red"">country</font></b> U.S.","IV <b><font color=""red"">country</font></b> U.S.",,,,,
"Evgeny Igorevich Tarelkin (Russian: ??????? ???????? ????????; born December 29, 1974) is a Russian cosmonaut.","Tarelkin <b><font color=""red"">birthPlace</font></b> Russian",,,,,,,,,,,"Tarelkin <b><font color=""red"">nationality</font></b> Russian",,,,,,,,,"Tarelkin <b><font color=""red"">birthPlace</font></b> Russian","Tarelkin <b><font color=""red"">nationality</font></b> Russian",,,,,
"On his last flight, (June 27 to July 7, 1995), Gibson commanded a crew of seven-members (up) and eight-members (down) on Space Shuttle mission STS-71.","Shuttle <b><font color=""red"">genre</font></b> his last flight",,,,,,,,,,,,,,,,,,,,,,,,,,
"As the commander of STS-27, Gibson and his five-man crew launched from the Kennedy Space Center on December 2, 1988, aboard the Orbiter Atlantis.","STS-27 <b><font color=""red"">launchSite</font></b> the Kennedy Space Center",,,,,,,,,,,,,,,,,,,,,,,,,,
Gibson returned to the United States and an assignment as an F-14A instructor pilot with Fighter Squadron 124 (VF-124) at Naval Air Station Miramar.,"VF-124 <b><font color=""red"">country</font></b> the United States",,,,,,,,,,,,,,,,,,,,,,,,,,
"Married to fellow astronaut Dr. M. Rhea Seddon of Murfreesboro, Tennessee, and had four children.","M. Rhea Seddon <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,,,,,,,,,,,,,,,,
"Born in Cooperstown, New York, but considered the Lakewood area of east Long Beach, California, to be his hometown.","Cooperstown <b><font color=""red"">isPartOf</font></b> New York",,,,,,,,,,,,,,,,,,,,,,,,,,
"This article incorporatespublic domain material from the National Aeronautics and Space Administration document ""Astronaut Bio: John Bennett Herrington (8/2005)"" (retrieved on January 15, 2012).","John Bennett Herrington <b><font color=""red"">birthPlace</font></b> National",,,,,,,,,,,"document <b><font color=""red"">recordedIn</font></b> National",,,,,,,,,"John Bennett Herrington <b><font color=""red"">type</font></b> Space","John Bennett Herrington <b><font color=""red"">type</font></b> Astronaut",,,,,
"In 2008 Herrington embarked on a cross-country bicycle ride through the United States from Cape Flattery, Washington to Cape Canaveral, Florida.","Herrington <b><font color=""red"">country</font></b> the United States",,,,,,,,,,,"Cape Canaveral <b><font color=""red"">location</font></b> the United States",,,,,,,,,"Florida <b><font color=""red"">country</font></b> the United States","Cape Canaveral <b><font color=""red"">location</font></b> Florida",,,,,
"In September 2005, Herrington resigned from NASA to become Vice President/Director of flight Operations for Rocketplane Limited, Inc., where he replaced Mitchell Burnside Clapp.","Herrington <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"Rocketplane Limited <b><font color=""red"">keyPerson</font></b> Herrington",,,,,,,,,,,,,,,
Herrington retired from the Navy and NASA in July 2005.,"Herrington <b><font color=""red"">rank</font></b> Navy",,,,,,,,,,,,,,,,,,,,,,,,,,
"In July 2004, Herrington served as the commander of the NEEMO 6 mission aboard the Aquarius underwater laboratory, living and working underwater for ten days.","Herrington <b><font color=""red"">rank</font></b> the commander",,,,,,,,,,,"NEEMO <b><font color=""red"">data</font></b> the Aquarius underwater laboratory",,,,,,,,,,,,,,,
"Herrington was selected as a Mission Specialist for STS-113, the sixteenth Space Shuttle mission to the International Space Station.","Herrington <b><font color=""red"">mission</font></b> STS-113",,,,,,,,,,,,,,,,,,,,,,,,,,
"Selected by NASA in April 1996, Herrington reported to the Johnson Space Center in August 1996.","Herrington <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"the Johnson Space Center <b><font color=""red"">parentAgency</font></b> NASA",,,,,,,,,,,,,,,
Herrington was assigned as a special projects officer to the Bureau of Naval Personnel Sea Duty Component when selected for the astronaut program.,"Personnel <b><font color=""red"">relatedOccupation</font></b> officer",,,,,,,,,,,"Herrington <b><font color=""red"">rank</font></b> Naval",,,,,,,,,,,,,,,
"While assigned to VP-48, Herrington was designated a Patrol Plane Commander, Mission Commander, and Patrol Plane Instructor Pilot.","Herrington <b><font color=""red"">rank</font></b> Commander",,,,,,,,,,,"Herrington <b><font color=""red"">rank</font></b> Commander",,,,,,,,,,,,,,,
"Herrington received his commission in the U.S. Navy from the Aviation Officer Candidate School at Naval Air Station Pensacola, Florida in March 1984.","Herrington <b><font color=""red"">rank</font></b> the U.S. Navy",,,,,,,,,,,"Naval Air Station Pensacola <b><font color=""red"">operator</font></b> the U.S. Navy",,,,,,,,,,,,,,,
"John Bennett Herrington (born September 14, 1958) is a retired United States naval aviator and former NASA astronaut.","John Bennett Herrington <b><font color=""red"">birthPlace</font></b> United States",,,,,,,,,,,"John Bennett Herrington <b><font color=""red"">type</font></b> NASA",,,,,,,,,"John Bennett Herrington <b><font color=""red"">type</font></b> astronaut",,,,,,
"Bursch was born in Bristol, Pennsylvania, but considers Vestal, New York, to be his hometown.","Vestal <b><font color=""red"">isPartOf</font></b> New York",,,,,,,,,,,,,,,,,,,,,,,,,,
The crew spent 196 days in space establishing a U.S. space flight endurance record for Dan Bursch and crew mate Carl Walz.,"Dan Bursch <b><font color=""red"">type</font></b> space",,,,,,,,,,,"Carl Walz <b><font color=""red"">type</font></b> space",,,,,,,,,"Dan Bursch <b><font color=""red"">nationality</font></b> U.S.","Carl Walz <b><font color=""red"">nationality</font></b> U.S.",,,,,
"The Expedition 4 crew launched on December 5, 2001 aboard STS-108 and docked with the International Space Station on December 7, 2001.","Expedition 4 <b><font color=""red"">arrivalCraft</font></b> STS-108",,,,,,,,,,,"STS-108 <b><font color=""red"">expedition5Up</font></b> Expedition 4",,,,,,,,,"STS-108 <b><font color=""red"">expedition6Up</font></b> Expedition 4","STS-108 <b><font color=""red"">expedition7Up</font></b> Expedition 4","Expedition 4 <b><font color=""red"">programme</font></b> the International Space Station","Expedition 4 <b><font color=""red"">spaceStation</font></b> the International Space Station",,,
"STS-77 launched from the Kennedy Space Center on May 19, 1996.","STS-77 <b><font color=""red"">landingSite</font></b> the Kennedy Space Center",,,,,,,,,,,"STS-77 <b><font color=""red"">launchSite</font></b> the Kennedy Space Center",,,,,,,,,,,,,,,
"STS-68, Space Radar Lab-2 (SRL-2), launched from the Kennedy Space Center, Florida, on September 30, 1994.","STS-68 <b><font color=""red"">launchSite</font></b> the Kennedy Space Center",,,,,,,,,,,,,,,,,,,,,,,,,,
"STS-51 launched from the Kennedy Space Center, Florida, on September 12, 1993.","STS-51 <b><font color=""red"">launchSite</font></b> the Kennedy Space Center",,,,,,,,,,,,,,,,,,,,,,,,,,
Bursch joined The Aerospace Corporation in July 2005 and is currently serving as the National Reconnaissance Office (NRO) Chair at the Naval Postgraduate School.,"Bursch <b><font color=""red"">nationality</font></b> the National",,,,,,,,,,,"Chair <b><font color=""red"">location</font></b> the National",,,,,,,,,"the Naval Postgraduate School <b><font color=""red"">country</font></b> the National",,,,,,
Dan Bursch and fellow astronaut Carl Walz completed one of the longest U.S. space flights of 196 days in space.,"Dan Bursch <b><font color=""red"">type</font></b> astronaut",,,,,,,,,,,"Carl Walz <b><font color=""red"">type</font></b> astronaut",,,,,,,,,"Carl Walz <b><font color=""red"">nationality</font></b> U.S.","Carl Walz <b><font color=""red"">type</font></b> space","Carl Walz <b><font color=""red"">type</font></b> space","Dan Bursch <b><font color=""red"">nationality</font></b> U.S.","Dan Bursch <b><font color=""red"">type</font></b> space","Dan Bursch <b><font color=""red"">type</font></b> space",
"He was a mission specialist on STS-51 (1993), STS-68 (1994) and STS-77 (1996), and served as flight engineer on International Space Station Expedition 4 (20012002).","Expedition 4 <b><font color=""red"">programme</font></b> International Space Station",,,,,,,,,,,"Expedition 4 <b><font color=""red"">spaceStation</font></b> International Space Station",,,,,,,,,,,,,,,
"Selected by NASA in January 1990, Bursch became an astronaut in July 1991.","Bursch <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"Bursch <b><font color=""red"">type</font></b> an astronaut",,,,,,,,,,,,,,,
"Daniel Wheeler Bursch (born July 25, 1957) is a former NASA astronaut, and Captain of the United States Navy.","Daniel Wheeler Bursch <b><font color=""red"">type</font></b> NASA",,,,,,,,,,,"Daniel Wheeler Bursch <b><font color=""red"">type</font></b> astronaut",,,,,,,,,"Daniel Wheeler Bursch <b><font color=""red"">rank</font></b> Captain","Daniel Wheeler Bursch <b><font color=""red"">rank</font></b> the United States Navy",,,,,
"He later served as the Air Force Attache at the Embassy of Saudi Arabia in London, United Kingdom.","the Embassy <b><font color=""red"">locationCountry</font></b> United Kingdom",,,,,,,,,,,"London <b><font color=""red"">country</font></b> United Kingdom",,,,,,,,,"United Kingdom <b><font color=""red"">capital</font></b> London",,,,,,
"He later served as the Air Force Attache at the Embassy of Saudi Arabia in London, United Kingdom.","the Embassy <b><font color=""red"">locationCountry</font></b> United Kingdom",,,,,,,,,,,"London <b><font color=""red"">country</font></b> United Kingdom",,,,,,,,,"United Kingdom <b><font color=""red"">capital</font></b> London",,,,,,
"Abdulmohsen Hamad Al-Bassam was born on December 12, 1948 in Unayzah, Saudi Arabia.","Abdulmohsen Hamad Al-Bassam <b><font color=""red"">birthPlace</font></b> Unayzah",,,,,,,,,,,"Unayzah <b><font color=""red"">country</font></b> Saudi Arabia",,,,,,,,,"Abdulmohsen Hamad Al-Bassam <b><font color=""red"">birthPlace</font></b> Saudi Arabia","Abdulmohsen Hamad Al-Bassam <b><font color=""red"">nationality</font></b> Saudi Arabia",,,,,
